Date,GDPPOT,GDP,FFR
01/01/2000,12724.9939,12924.179,5.45
01/04/2000,12856.99331,13160.842,6.02
01/07/2000,12985.12398,13178.419,6.54
01/10/2000,13108.303,13260.506,6.51
01/01/2001,13226.96901,13222.69,5.98
01/04/2001,13340.26083,13299.984,4.8
01/07/2001,13448.36269,13244.784,3.77
01/10/2001,13551.33247,13280.859,2.49
01/01/2002,13649.81323,13397.002,1.73
01/04/2002,13745.24546,13478.152,1.75
01/07/2002,13838.73267,13538.072,1.73
01/10/2002,13931.16617,13559.032,1.75
01/01/2003,14023.22178,13634.253,1.24
01/04/2003,14116.16596,13751.543,1.26
01/07/2003,14209.64889,13985.073,1.01
01/10/2003,14304.47745,14145.645,1.01
01/01/2004,14401.40482,14221.147,1
01/04/2004,14500.31368,14329.523,1
01/07/2004,14601.54756,14464.984,1.26
01/10/2004,14704.34185,14609.876,1.76
01/01/2005,14805.12877,14771.602,2.28
01/04/2005,14902.76134,14839.782,2.79
01/07/2005,14998.25488,14972.054,3.26
01/10/2005,15091.01212,15066.597,3.78
01/01/2006,15180.82498,15267.026,4.29
01/04/2006,15267.93799,15302.705,4.79
01/07/2006,15350.51139,15326.368,5.24
01/10/2006,15428.12187,15456.928,5.25
01/01/2007,15502.84412,15493.328,5.25
01/04/2007,15577.75616,15582.085,5.25
01/07/2007,15652.89028,15666.738,5.26
01/10/2007,15727.03426,15761.967,4.76
01/01/2008,15799.78625,15671.383,3.94
01/04/2008,15869.51776,15752.308,2.28
01/07/2008,15934.98269,15667.032,2.01
01/10/2008,15995.83553,15328.027,0.97
01/01/2009,16050.85331,15155.94,0.15
01/04/2009,16101.75553,15134.117,0.15
01/07/2009,16149.39481,15189.222,0.16
01/10/2009,16195.5698,15356.058,0.12
01/01/2010,16241.89408,15415.145,0.11
01/04/2010,16289.80128,15557.277,0.2
01/07/2010,16340.06518,15671.967,0.18
01/10/2010,16392.41614,15750.625,0.19
01/01/2011,16447.07489,15712.754,0.17
01/04/2011,16503.93548,15825.096,0.1
01/07/2011,16563.03354,15820.7,0.07
01/10/2011,16623.74732,16004.107,0.07
01/01/2012,16686.03742,16129.418,0.08
01/04/2012,16750.28202,16198.807,0.14
01/07/2012,16816.11236,16220.667,0.16
01/10/2012,16883.24027,16239.138,0.16
01/01/2013,16951.53207,16382.964,0.14
01/04/2013,17021.28585,16403.18,0.15
01/07/2013,17091.75993,16531.685,0.09
01/10/2013,17163.44569,16663.649,0.09
01/01/2014,17236.13804,16616.54,0.07
01/04/2014,17309.74262,16841.475,0.09
01/07/2014,17384.61268,17047.098,0.09
01/10/2014,17460.18133,17143.038,0.09
01/01/2015,17535.75532,17305.752,0.11
01/04/2015,17611.74503,17422.845,0.12
01/07/2015,17687.01817,17486.021,0.13
01/10/2015,17761.45,17514.062,0.12
01/01/2016,17836.03,17613.264,0.34
01/04/2016,17908.6,17668.203,0.37
01/07/2016,17980.67,17764.388,0.39
01/10/2016,18052.42,17876.179,0.4
01/01/2017,18123.94,17977.299,0.65
01/04/2017,18196.87,18054.052,0.9
01/07/2017,18272.58,18185.636,1.15
01/10/2017,18350.47,18359.432,1.15
01/01/2018,18430.68,18530.483,1.41
01/04/2018,18513.39,18654.383,1.69
01/07/2018,18598.25,18752.355,1.91
01/10/2018,18683.95,18813.923,2.19
01/01/2019,18770.15,18950.347,2.4
01/04/2019,18856.69,19020.599,2.42
01/07/2019,18943.14,19141.744,2.4
01/10/2019,19029.64,19253.959,1.83
01/01/2020,19115.94,19010.848,1.55
01/04/2020,19203.79,17282.188,0.05
01/07/2020,19267.72,,#N/A
01/10/2020,19330.79,,#N/A
01/01/2021,19396.25,,#N/A
01/04/2021,19466.4,,#N/A
01/07/2021,19542.14,,#N/A
01/10/2021,19623.71,,#N/A
01/01/2022,19708.41,,#N/A
01/04/2022,19794.52,,#N/A
01/07/2022,19881.71,,#N/A
01/10/2022,19969.95,,#N/A
01/01/2023,20059.56,,#N/A
01/04/2023,20149.61,,#N/A
01/07/2023,20240.93,,#N/A
01/10/2023,20333.47,,#N/A
01/01/2024,20427.08,,#N/A
01/04/2024,20520.89,,#N/A
01/07/2024,20615.24,,#N/A
01/10/2024,20709.98,,#N/A
01/01/2025,20805,,#N/A
01/04/2025,20899.48,,#N/A
01/07/2025,20994.06,,#N/A
01/10/2025,21088.73,,#N/A
01/01/2026,21183.24,,#N/A
01/04/2026,21277.25,,#N/A
01/07/2026,21371.09,,#N/A
01/10/2026,21465.21,,#N/A
01/01/2027,21559.85,,#N/A
01/04/2027,21654.86,,#N/A
01/07/2027,21750.63,,#N/A
01/10/2027,21847.25,,#N/A
01/01/2028,21944.51,,#N/A
01/04/2028,22042.85,,#N/A
01/07/2028,22142.1,,#N/A
01/10/2028,22242.12,,#N/A
01/01/2029,22342.8,,#N/A
01/04/2029,22443.96,,#N/A
01/07/2029,22544.93,,#N/A
01/10/2029,22645.81,,#N/A
01/01/2030,22746.66,,#N/A
01/04/2030,22847.25,,#N/A
01/07/2030,22947.42,,#N/A
01/10/2030,23047.2,,#N/A
