Date,3M Libor,FEDFUNDS
02/01/2004,1.15,1.01
05/01/2004,1.15,0.97
06/01/2004,1.15,0.92
07/01/2004,1.14,0.94
08/01/2004,1.14,0.99
09/01/2004,1.14,0.99
12/01/2004,1.12,1
13/01/2004,1.12,0.99
14/01/2004,1.12,1.01
15/01/2004,1.12,1.04
16/01/2004,1.12,0.98
19/01/2004,1.12,0.98
20/01/2004,1.12,1.02
21/01/2004,1.12,1
22/01/2004,1.12,1.02
23/01/2004,1.12,1
26/01/2004,1.12,1.08
27/01/2004,1.12,1.02
28/01/2004,1.12,0.99
29/01/2004,1.13125,1
30/01/2004,1.13,1.03
02/02/2004,1.13,1.01
03/02/2004,1.13,0.97
04/02/2004,1.13,1
05/02/2004,1.13,1.01
06/02/2004,1.13,0.99
09/02/2004,1.13,1.01
10/02/2004,1.13,1
11/02/2004,1.13,1
12/02/2004,1.12188,1.02
13/02/2004,1.12,1.01
16/02/2004,1.12,1.01
17/02/2004,1.12,1.02
18/02/2004,1.12,1
19/02/2004,1.12,1
20/02/2004,1.12,0.99
23/02/2004,1.12,1
24/02/2004,1.12,0.99
25/02/2004,1.12,1.02
26/02/2004,1.12,1.03
27/02/2004,1.12,1.04
01/03/2004,1.12,1.04
02/03/2004,1.12,1
03/03/2004,1.12,1
04/03/2004,1.12,0.99
05/03/2004,1.12,1
08/03/2004,1.11,1
09/03/2004,1.11,0.99
10/03/2004,1.11,1
11/03/2004,1.11,1.01
12/03/2004,1.11,0.99
15/03/2004,1.11,1.05
16/03/2004,1.11,0.99
17/03/2004,1.11,1
18/03/2004,1.11,1
19/03/2004,1.11,0.99
22/03/2004,1.11,1.01
23/03/2004,1.11,0.99
24/03/2004,1.11,0.99
25/03/2004,1.11,1.02
26/03/2004,1.11,1
29/03/2004,1.11,1
30/03/2004,1.11,0.98
31/03/2004,1.11,1.05
01/04/2004,1.11,1.03
02/04/2004,1.11,1
05/04/2004,1.14,1.01
06/04/2004,1.14,1
07/04/2004,1.14,1
08/04/2004,1.14,1.02
13/04/2004,1.14,1
14/04/2004,1.14188,1.01
15/04/2004,1.15,1.03
16/04/2004,1.15,0.99
19/04/2004,1.14938,1
20/04/2004,1.15,0.99
21/04/2004,1.16875,0.99
22/04/2004,1.17,1
23/04/2004,1.17,0.99
26/04/2004,1.17,1.01
27/04/2004,1.17,0.99
28/04/2004,1.17,1.01
29/04/2004,1.17875,1.03
30/04/2004,1.18,1.03
04/05/2004,1.18,1
05/05/2004,1.18,0.99
06/05/2004,1.18,1
07/05/2004,1.19,0.99
10/05/2004,1.24,1
11/05/2004,1.24,0.96
12/05/2004,1.24,0.98
13/05/2004,1.25,1
14/05/2004,1.26,1.02
17/05/2004,1.25813,1.05
18/05/2004,1.26,1
19/05/2004,1.27,1
20/05/2004,1.28,1
21/05/2004,1.28,0.99
24/05/2004,1.29,1
25/05/2004,1.29,1
26/05/2004,1.3,0.99
27/05/2004,1.31,1
28/05/2004,1.315,1.02
01/06/2004,1.32688,1.02
02/06/2004,1.34,0.98
03/06/2004,1.36,0.99
04/06/2004,1.37375,0.99
07/06/2004,1.4,0.99
08/06/2004,1.41,0.97
09/06/2004,1.4275,0.99
10/06/2004,1.46875,1
11/06/2004,1.52,1
14/06/2004,1.54125,1.02
15/06/2004,1.56,1.03
16/06/2004,1.53375,1
17/06/2004,1.55,1.01
18/06/2004,1.55,1
21/06/2004,1.55938,1
22/06/2004,1.55938,1
23/06/2004,1.57,1.02
24/06/2004,1.58625,1.03
25/06/2004,1.58,1.05
28/06/2004,1.58625,1.09
29/06/2004,1.6,1.13
30/06/2004,1.61,1.38
01/07/2004,1.6,1.4
02/07/2004,1.6,1.25
05/07/2004,1.5775,1.25
06/07/2004,1.58,1.3
07/07/2004,1.58125,1.26
08/07/2004,1.59,1.26
09/07/2004,1.59,1.24
12/07/2004,1.6,1.26
13/07/2004,1.6,1.24
14/07/2004,1.61,1.24
15/07/2004,1.62,1.3
16/07/2004,1.63,1.24
19/07/2004,1.63,1.25
20/07/2004,1.6325,1.25
21/07/2004,1.65,1.25
22/07/2004,1.66,1.26
23/07/2004,1.66,1.25
26/07/2004,1.66188,1.27
27/07/2004,1.67,1.27
28/07/2004,1.68,1.29
29/07/2004,1.69375,1.3
30/07/2004,1.7,1.29
02/08/2004,1.69,1.28
03/08/2004,1.7,1.24
04/08/2004,1.7,1.22
05/08/2004,1.71,1.3
06/08/2004,1.71,1.32
09/08/2004,1.67,1.35
10/08/2004,1.68,1.43
11/08/2004,1.71,1.5
12/08/2004,1.71125,1.51
13/08/2004,1.72,1.48
16/08/2004,1.72,1.43
17/08/2004,1.73,1.2
18/08/2004,1.73,1.39
19/08/2004,1.74,1.5
20/08/2004,1.74,1.5
23/08/2004,1.75,1.51
24/08/2004,1.76,1.51
25/08/2004,1.77,1.55
26/08/2004,1.78125,1.55
27/08/2004,1.79,1.52
31/08/2004,1.8,1.55
01/09/2004,1.8,1.53
02/09/2004,1.81,1.51
03/09/2004,1.82,1.48
06/09/2004,1.85,1.48
07/09/2004,1.86,1.54
08/09/2004,1.8625,1.51
09/09/2004,1.87,1.49
10/09/2004,1.87438,1.48
13/09/2004,1.88,1.51
14/09/2004,1.88,1.4
15/09/2004,1.88813,1.57
16/09/2004,1.91,1.61
17/09/2004,1.91,1.58
20/09/2004,1.91875,1.64
21/09/2004,1.93,1.7
22/09/2004,1.94125,1.78
23/09/2004,1.95,1.8
24/09/2004,1.96,1.76
27/09/2004,1.97,1.76
28/09/2004,1.975,1.72
29/09/2004,2.00563,1.76
30/09/2004,2.02,1.94
01/10/2004,2.0275,1.86
04/10/2004,2.03125,1.77
05/10/2004,2.04,1.73
06/10/2004,2.045,1.74
07/10/2004,2.06,1.76
08/10/2004,2.06,1.71
11/10/2004,2.0525,1.71
12/10/2004,2.05813,1.78
13/10/2004,2.07,1.73
14/10/2004,2.07,1.77
15/10/2004,2.07,1.79
18/10/2004,2.07875,1.73
19/10/2004,2.08,1.72
20/10/2004,2.09,1.74
21/10/2004,2.1,1.76
22/10/2004,2.11,1.72
25/10/2004,2.11,1.76
26/10/2004,2.11938,1.72
27/10/2004,2.13,1.77
28/10/2004,2.16,1.79
29/10/2004,2.17,1.79
01/11/2004,2.18,1.83
02/11/2004,2.19,1.74
03/11/2004,2.2,1.73
04/11/2004,2.21,1.77
05/11/2004,2.22,1.76
08/11/2004,2.26,1.8
09/11/2004,2.27375,1.79
10/11/2004,2.27625,1.92
11/11/2004,2.29,1.92
12/11/2004,2.29,2.02
15/11/2004,2.3,2.06
16/11/2004,2.31,1.98
17/11/2004,2.33,1.99
18/11/2004,2.33875,1.99
19/11/2004,2.345,1.99
22/11/2004,2.36,2.01
23/11/2004,2.38,2
24/11/2004,2.38063,2.02
25/11/2004,2.39,2.02
26/11/2004,2.4,2.01
29/11/2004,2.4,2.03
30/11/2004,2.41,2.02
01/12/2004,2.41875,2.04
02/12/2004,2.4375,2
03/12/2004,2.44,1.98
06/12/2004,2.44,2.04
07/12/2004,2.45,1.99
08/12/2004,2.46,2.01
09/12/2004,2.47,2.05
10/12/2004,2.48,2.09
13/12/2004,2.49,2.18
14/12/2004,2.5,2.24
15/12/2004,2.50125,2.31
16/12/2004,2.51,2.26
17/12/2004,2.52,2.23
20/12/2004,2.52125,2.26
21/12/2004,2.53,2.24
22/12/2004,2.53,2.25
23/12/2004,2.54875,2.34
24/12/2004,2.55,2.27
29/12/2004,2.56,2.23
30/12/2004,2.56,2.24
31/12/2004,2.56438,1.97
04/01/2005,2.57,2.25
05/01/2005,2.59,2.25
06/01/2005,2.61,2.25
07/01/2005,2.61,2.24
10/01/2005,2.62,2.26
11/01/2005,2.63,2.24
12/01/2005,2.64,2.25
13/01/2005,2.66,2.29
14/01/2005,2.66,2.29
17/01/2005,2.67,2.29
